date,code,name,change_percent,amount,activity,rank,turnover_rate,net_inflow,source
2025-08-27,new_hqhy,化纤行业,-2.5685,10538555700.0,38.7755,26,,,sina_membership+tencent_equal_weight
2025-08-27,new_jdhy,家电行业,-1.8889,30924210600.0,75.5102,6,,,sina_membership+tencent_equal_weight
2025-08-27,new_jdly,酒店旅游,-2.0845,12965537200.0,42.8571,12,,,sina_membership+tencent_equal_weight
2025-08-27,new_jjhy,家具行业,-3.1286,2930812500.0,10.2041,42,,,sina_membership+tencent_equal_weight
2025-08-27,new_jrhy,金融行业,-2.5599,75271750700.0,91.8367,25,,,sina_membership+tencent_equal_weight
2025-08-27,new_jtys,交通运输,-2.4057,28843557200.0,65.3061,21,,,sina_membership+tencent_equal_weight
2025-08-27,new_jxhy,机械行业,-2.4273,70779940300.0,89.7959,23,,,sina_membership+tencent_equal_weight
2025-08-27,new_jzjc,建筑建材,-2.4037,30602249100.0,73.4694,19,,,sina_membership+tencent_equal_weight
2025-08-27,new_kfq,开发区,-2.425,6426882500.0,20.4082,22,,,sina_membership+tencent_equal_weight
2025-08-27,new_ljhy,酿酒行业,-2.8769,29274940700.0,67.3469,34,,,sina_membership+tencent_equal_weight
2025-08-27,new_mtc,摩托车,-2.882,4581950900.0,14.2857,35,,,sina_membership+tencent_equal_weight
2025-08-27,new_mthy,煤炭行业,-2.7388,17017961300.0,55.102,30,,,sina_membership+tencent_equal_weight
2025-08-27,new_nlmy,农林牧渔,-1.8811,23312905700.0,59.1837,5,,,sina_membership+tencent_equal_weight
2025-08-27,new_nyhf,农药化肥,-2.9902,13550619500.0,46.9388,37,,,sina_membership+tencent_equal_weight
2025-08-27,new_qczz,汽车制造,-2.1888,92646849000.0,93.8776,15,,,sina_membership+tencent_equal_weight
2025-08-27,new_qtxy,其它行业,-1.1155,10972094100.0,40.8163,1,,,sina_membership+tencent_equal_weight
2025-08-27,new_slzp,塑料制品,-1.9896,15346793800.0,51.0204,9,,,sina_membership+tencent_equal_weight
2025-08-27,new_snhy,水泥行业,-3.1719,8203941500.0,30.6122,44,,,sina_membership+tencent_equal_weight
2025-08-27,new_sphy,食品行业,-2.0615,18202240300.0,57.1429,11,,,sina_membership+tencent_equal_weight
2025-08-27,new_stock,次新股,-5.0928,725984000.0,2.0408,49,,,sina_membership+tencent_equal_weight
2025-08-27,new_swzz,生物制药,-2.6929,43995763300.0,79.5918,29,,,sina_membership+tencent_equal_weight
2025-08-27,new_sybh,商业百货,-2.2361,30187999200.0,69.3878,17,,,sina_membership+tencent_equal_weight
2025-08-27,new_syhy,石油行业,-3.0395,7410487300.0,26.5306,40,,,sina_membership+tencent_equal_weight
2025-08-27,new_tchy,陶瓷行业,-3.156,2405054000.0,4.0816,43,,,sina_membership+tencent_equal_weight
2025-08-27,new_wzwm,物资外贸,-2.1226,7884647300.0,28.5714,14,,,sina_membership+tencent_equal_weight
2025-08-27,new_ylqx,医疗器械,-3.2855,13277424500.0,44.898,47,,,sina_membership+tencent_equal_weight
2025-08-27,new_yqyb,仪器仪表,-2.5875,44268455000.0,81.6327,28,,,sina_membership+tencent_equal_weight
2025-08-27,new_ysbz,印刷包装,-2.8369,10471608600.0,36.7347,32,,,sina_membership+tencent_equal_weight
2025-08-27,new_ysjs,有色金属,-1.9539,96901534200.0,95.9184,8,,,sina_membership+tencent_equal_weight
2025-08-27,new_zhhy,综合行业,-2.8696,5497899400.0,16.3265,33,,,sina_membership+tencent_equal_weight
2025-08-27,new_zzhy,造纸行业,-2.5733,6247932700.0,18.3673,27,,,sina_membership+tencent_equal_weight
2025-08-28,new_blhy,玻璃行业,2.4519,10785064400.0,40.8163,1,,,sina_membership+tencent_equal_weight
2025-08-28,new_cbzz,船舶制造,1.5371,6727981600.0,26.5306,8,,,sina_membership+tencent_equal_weight
2025-08-28,new_cmyl,传媒娱乐,0.1547,21255166200.0,59.1837,28,,,sina_membership+tencent_equal_weight
