date,symbol,name,open,high,low,close,change_percent,volume,amount,source
2026-04-27,399006,创业板指,3677.89,3686.94,3640.11,3648.79,-0.518,215941887.0,674213473900.0,tencent
2026-04-27,899050,北证50,1360.19,1369.01,1350.02,1361.47,-0.64,683038977.0,15697000000.0,csindex
2026-04-28,000001,上证指数,4076.14,4090.2,4062.87,4078.64,-0.19,60050749800.0,1113956000000.0,csindex
2026-04-28,000300,沪深300,4757.08,4778.19,4743.44,4758.21,-0.27,21672423300.0,631522000000.0,csindex
2026-04-28,000688,科创50,1497.32,1525.34,1479.67,1488.66,-1.31,1192550800.0,101930000000.0,csindex
2026-04-28,000852,中证1000,8307.69,8316.27,8187.24,8226.69,-1.34,28497044600.0,549202000000.00006,csindex
2026-04-28,399001,深证成指,14925.22,14943.36,14772.46,14830.46,-1.1022,723727547.0,1422352274500.0,tencent
2026-04-28,399006,创业板指,3623.49,3636.93,3580.39,3596.71,-1.4273,218834025.0,664872021600.0,tencent
2026-04-28,899050,北证50,1360.12,1362.98,1324.26,1325.39,-2.65,691560950.0,14527000000.000002,csindex
2026-04-29,000001,上证指数,4061.82,4112.15,4061.82,4107.51,0.71,61422145100.0,1126615000000.0,csindex
2026-04-29,000300,沪深300,4737.58,4813.61,4737.11,4810.35,1.1,23329811000.0,681021000000.0,csindex
2026-04-29,000688,科创50,1474.12,1495.01,1451.71,1493.5,0.33,1145722100.0,96265000000.0,csindex
2026-04-29,000852,中证1000,8163.35,8361.49,8163.35,8343.07,1.41,28909945600.0,557143000000.0,csindex
2026-04-29,399001,深证成指,14751.42,15139.71,14751.42,15120.92,1.9585,736380398.0,1463521736300.0,tencent
2026-04-29,399006,创业板指,3578.42,3692.21,3578.42,3687.17,2.5151,215002402.0,679396871400.0,tencent
2026-04-29,899050,北证50,1316.97,1339.89,1315.03,1331.74,0.48,781298675.0,18955000000.0,csindex
2026-04-30,000001,上证指数,4107.3,4118.76,4100.97,4112.16,0.11,65691272800.0,1276195000000.0,csindex
2026-04-30,000300,沪深300,4820.97,4829.27,4797.54,4807.31,-0.06,25063337000.0,726665000000.0,csindex
2026-04-30,000688,科创50,1511.39,1580.52,1511.39,1571.07,5.19,1510961200.0,143369000000.0,csindex
2026-04-30,000852,中证1000,8345.25,8402.36,8324.29,8381.95,0.47,29911511000.0,595982000000.0,csindex
2026-04-30,399001,深证成指,15157.07,15186.12,15044.86,15107.55,-0.0884,737703743.0,1464716733100.0,tencent
2026-04-30,399006,创业板指,3704.11,3718.4,3660.22,3677.15,-0.2718,201808141.0,638060867600.0,tencent
2026-04-30,899050,北证50,1328.46,1337.22,1325.49,1330.09,-0.12,791465795.0,18628000000.0,csindex
2026-05-06,000001,上证指数,4135.45,4166.15,4129.91,4160.17,1.17,70117748000.0,1465903000000.0,csindex
2026-05-06,000300,沪深300,4857.65,4892.8,4834.28,4877.09,1.45,27444388000.0,881744000000.0,csindex
2026-05-06,000688,科创50,1634.31,1715.08,1631.65,1656.95,5.47,1830104800.0,202264000000.0,csindex
2026-05-06,000852,中证1000,8462.02,8610.88,8462.02,8574.56,2.3,33085337100.0,690961000000.0,csindex
2026-05-06,399001,深证成指,15323.19,15534.67,15254.99,15459.62,2.3304,826248677.0,1760931025000.0,tencent
2026-05-06,399006,创业板指,3760.67,3815.07,3724.53,3778.16,2.747,249880273.0,838085984000.0,tencent
2026-05-06,899050,北证50,1340.27,1369.53,1340.27,1363.29,2.5,802896930.0,20137000000.0,csindex
2026-05-07,000001,上证指数,4168.45,4180.21,4163.14,4180.09,0.48,68557424900.0,1359100000000.0,csindex
2026-05-07,000300,沪深300,4895.8,4901.86,4866.87,4900.51,0.48,25783397200.0,787236000000.0,csindex
2026-05-07,000688,科创50,1663.16,1682.22,1646.94,1678.89,1.32,1393006300.0,147149000000.0,csindex
2026-05-07,000852,中证1000,8602.15,8716.86,8573.3,8714.51,1.63,33247719000.0,687608000000.0,csindex
2026-05-07,399001,深证成指,15541.3,15652.58,15439.48,15641.89,1.179,844489884.0,1784856104500.0,tencent
2026-05-07,399006,创业板指,3807.99,3840.06,3761.23,3833.06,1.4531,252313119.0,839415277800.0,tencent
2026-05-07,899050,北证50,1369.89,1421.72,1369.89,1404.94,3.05,931915371.0,24655000000.0,csindex
2026-05-08,000001,上证指数,4163.85,4183.06,4154.25,4179.95,0.0,69701909400.0,1331673000000.0,csindex
2026-05-08,000300,沪深300,4871.12,4887.21,4849.99,4871.91,-0.58,25172099600.0,716546000000.0,csindex
2026-05-08,000688,科创50,1653.31,1655.57,1625.61,1640.46,-2.29,1500507400.0,134384999999.99998,csindex
2026-05-08,000852,中证1000,8655.13,8760.19,8651.06,8741.15,0.31,32178154500.0,656747000000.0,csindex
2026-05-08,399001,深证成指,15520.38,15639.39,15466.84,15563.8,-0.4992,826218480.0,1716868864500.0,tencent
2026-05-08,399006,创业板指,3792.04,3840.16,3787.17,3796.13,-0.9635,242873982.0,782390376400.0,tencent
2026-05-08,899050,北证50,1394.95,1445.06,1390.27,1436.36,2.24,1021559347.0,27388000000.0,csindex
2026-05-11,000001,上证指数,4201.35,4229.58,4186.08,4225.02,1.08,76273628700.0,1584367000000.0,csindex
2026-05-11,000300,沪深300,4902.28,4960.4,4889.57,4951.84,1.64,30573480100.0,904479000000.0001,csindex
2026-05-11,000688,科创50,1687.64,1727.3,1669.73,1716.69,4.65,1829405800.0,183092000000.0,csindex
2026-05-11,000852,中证1000,8807.91,8888.87,8760.71,8866.78,1.44,34480797200.0,742541000000.0,csindex
2026-05-11,399001,深证成指,15697.44,15921.65,15622.33,15899.3,2.1556,911634859.0,1954494738000.0,tencent
2026-05-11,399006,创业板指,3829.61,3937.87,3797.5,3928.97,3.4994,264046160.0,922847287099.9999,tencent
2026-05-11,899050,北证50,1441.4,1443.28,1421.32,1426.31,-0.7,959515032.0,26843000000.0,csindex
2026-05-12,000001,上证指数,4229.28,4230.18,4199.34,4214.49,-0.25,71898400200.0,1465273000000.0,csindex
2026-05-12,000300,沪深300,4965.02,4971.3,4926.79,4948.05,-0.08,27381200100.0,819351000000.0,csindex
2026-05-12,000688,科创50,1708.21,1747.17,1687.96,1723.78,0.41,1692708900.0,163162000000.0,csindex
2026-05-12,000852,中证1000,8880.41,8881.9,8749.72,8821.89,-0.51,32084927800.0,683458000000.0,csindex
2026-05-12,399001,深证成指,15952.79,15952.79,15711.27,15824.92,-0.4678,847817149.0,1777383753899.9998,tencent
2026-05-12,399006,创业板指,3947.14,3954.99,3897.82,3934.88,0.1504,247035078.0,838293258000.0,tencent
2026-05-12,899050,北证50,1431.11,1451.1,1410.27,1419.4,-0.48,943145762.0,27345999999.999996,csindex
2026-05-13,000001,上证指数,4192.31,4245.07,4192.31,4242.57,0.67,70501873900.0,1447464000000.0,csindex
2026-05-13,000300,沪深300,4919.42,5001.12,4919.42,4998.34,1.02,26845453700.0,823173000000.0,csindex
2026-05-13,000688,科创50,1684.37,1771.49,1677.54,1770.15,2.69,1777324700.0,158689000000.0,csindex
2026-05-13,000852,中证1000,8764.02,8958.46,8764.02,8955.45,1.51,31915270600.0,677187000000.0,csindex
2026-05-13,399001,深证成指,15713.54,16100.46,15713.54,16089.75,1.6735,827341429.0,1792550090900.0,tencent
2026-05-13,399006,创业板指,3900.74,4041.99,3893.8,4038.33,2.6291,248072070.0,860686701900.0,tencent
2026-05-13,899050,北证50,1409.61,1438.69,1406.74,1438.46,1.34,934667005.0,24509000000.0,csindex
2026-05-14,000001,上证指数,4256.16,4258.86,4177.92,4177.92,-1.52,76423500400.0,1498117000000.0,csindex
2026-05-14,000300,沪深300,5027.64,5030.52,4913.6,4914.6,-1.68,28069537900.0,857445999999.9999,csindex
2026-05-14,000688,科创50,1792.34,1800.61,1723.7,1725.09,-2.55,2107102300.0,170925000000.0,csindex
